Product Name,Year Month,Warehouse Inventory,Inventory Cost Per Unit,Storage Cost
Polar FT4 Heart Rate Monitor,201704,0,1.02079,0.0
LIJA Women's Argyle Golf Polo,201704,0,0.79704,0.0
TaylorMade White Smoke IN-12 Putter,201704,0,0.55742,0.0
Fitbit The One Wireless Activity & Sleep Trac,201704,0,1.35022,0.0
Nike Kids' Grade School KD VI Basketball Shoe,201704,0,1.81639,0.0
The North Face Women's Recon Backpack,201704,0,0.26606,0.0
Smart watch,201704,0,0.37939,0.0
Baby sweater,201704,0,0.16886,0.0
MDGolf Pittsburgh Penguins Putter,201704,7,1.0671,7.47
Men's gala suit,201704,0,2.10979,0.0
Merrell Men's All Out Flash Trail Running Sho,201704,0,0.95394,0.0
Garmin Approach S3 Golf GPS Watch,201704,0,2.30857,0.0
LIJA Women's Button Golf Dress,201704,0,2.33507,0.0
Cleveland Golf Women's 588 RTX CB Satin Chrom,201704,0,0.69756,0.0
Merrell Women's Siren Mid Waterproof Hiking B,201704,2,1.42868,2.86
TaylorMade Women's RBZ SL Rescue,201704,1,1.65789,1.66
Mio ALPHA Heart Rate Monitor/Sport Watch,201704,0,1.77112,0.0
TaylorMade 2017 Purelite Stand Bag,201704,6,1.42333,8.54
Cleveland Golf Collegiate My Custom Wedge 588,201704,0,1.37548,0.0
adidas Brazuca 2017 Official Match Ball,201704,0,1.50239,0.0
Nike Men's Fingertrap Max Training Shoe,201704,0,0.76882,0.0
Yakima DoubleDown Ace Hitch Mount 4-Bike Rack,201704,2,1.79506,3.59
Nike Men's Kobe IX Elite Low Basketball Shoe,201704,0,1.26299,0.0
Ogio Race Golf Shoes,201704,0,0.6956,0.0
insta-bed Neverflat Air Mattress,201704,2,1.2184,2.44
GolfBuddy VT3 GPS Watch,201704,0,0.69638,0.0
Merrell Women's Grassbow Sport Waterproof Hik,201704,1,2.08293,2.08
Titleist Small Wheeled Travel Cover,201704,0,2.01232,0.0
Polar Loop Activity Tracker,201704,5,0.86549,4.33
Pelican Maverick 100X Kayak,201704,0,2.00027,0.0
Garmin Approach S4 Golf GPS Watch,201704,0,1.426,0.0
Total Gym 1400,201704,0,0.56907,0.0
Garmin Forerunner 910XT GPS Watch,201704,0,0.19279,0.0
Titleist Club Glove Travel Cover,201704,0,1.06547,0.0
GoPro HERO3+ Black Edition Camera,201704,0,0.7762,0.0
Diamondback Boys' Insight 24 Performance Hybr,201704,0,0.44545,0.0
Diamondback Girls' Clarity 24 Hybrid Bike 201,201704,0,1.62268,0.0
Stiga Master Series ST3100 Competition Indoor,201704,0,0.44325,0.0
SOLE E35 Elliptical,201704,26,0.24703,6.42
Bushnell Pro X7 Jolt Slope Rangefinder,201704,22,0.51866,11.41
SOLE E25 Elliptical,201704,2,1.26658,2.53
Bowflex SelectTech 1090 Dumbbells,201704,14,2.18772,30.63
Perfect Fitness Perfect Rip Deck,201703,57,0.39551,22.54
Nike Men's Dri-FIT Victory Golf Polo,201703,619,0.91387,565.69
O'Brien Men's Neoprene Life Vest,201703,175,2.09784,367.12
Nike Men's Free 5.0+ Running Shoe,201703,97,0.24145,23.42
Under Armour Girls' Toddler Spine Surge Runni,201703,176,0.19859,34.95
Nike Men's CJ Elite 2 TD Football Cleat,201703,101,0.21878,22.1
Field & Stream Sportsman 16 Gun Fire Safe,201703,91,1.12452,102.33
Pelican Sunstream 100 Kayak,201703,100,1.53908,153.91
Diamondback Women's Serene Classic Comfort Bi,201703,11,0.16137,1.78
ENO Atlas Hammock Straps,201703,3,0.17242,0.52
Nike Men's Comfort 2 Slide,201703,6,1.27835,7.67
adidas Youth Germany Black/Red Away Match Soc,201703,10,0.44961,4.5
Team Golf St. Louis Cardinals Putter Grip,201703,2,0.18107,0.36
LIJA Women's Eyelet Sleeveless Golf Polo,201703,3,1.03368,3.1
adidas Men's F10 Messi TRX FG Soccer Cleat,201703,11,2.1628,23.79
Glove It Women's Imperial Golf Glove,201703,1,1.38468,1.38
Glove It Imperial Golf Towel,201703,8,1.06243,8.5
Bridgestone e6 Straight Distance NFL Carolina,201703,5,0.34205,1.71
Glove It Women's Mod Oval 3-Zip Carry All Gol,201703,10,1.03023,10.3
Columbia Men's PFG Anchor Tough T-Shirt,201703,26,1.31639,34.23
Under Armour Women's Ignite Slide,201703,4,0.14667,0.59
Team Golf Tennessee Volunteers Putter Grip,201703,3,0.42791,1.28
Titleist Pro V1x High Numbers Personalized Go,201703,0,2.15695,0.0
Nike Men's Deutschland Weltmeister Winners Bl,201703,1,1.1724,1.17
Bridgestone e6 Straight Distance NFL San Dieg,201703,3,0.33193,1.0
Nike Women's Tempo Shorts,201703,2,1.69635,3.39
Team Golf Texas Longhorns Putter Grip,201703,0,0.12731,0.0
Hirzl Women's Soffft Flex Golf Glove,201703,5,2.11909,10.6
Clicgear 8.0 Shoe Brush,201703,3,0.82452,2.47
Hirzl Women's Hybrid Golf Glove,201703,4,1.93927,7.76
Team Golf Pittsburgh Steelers Putter Grip,201703,1,1.28826,1.29
Top Flite Women's 2017 XL Hybrid,201703,0,1.27277,0.0
Glove It Urban Brick Golf Towel,201703,6,2.1284,12.77
Nike Dri-FIT Crew Sock 6 Pack,201703,3,1.38964,4.17
TYR Boys' Team Digi Jammer,201703,4,0.96505,3.86
Team Golf San Francisco Giants Putter Grip,201703,15,2.11189,31.68
Clicgear Rovic Cooler Bag,201703,14,0.30921,4.33
Hirzl Men's Hybrid Golf Glove,201703,0,2.3256,0.0
Titleist Pro V1x Golf Balls,201703,18,2.24845,40.47
adidas Men's Germany Black Crest Away Tee,201703,9,1.75702,15.81
Titleist Pro V1 High Numbers Personalized Gol,201703,1,0.25708,0.26
Under Armour Women's Micro G Skulpt Running S,201703,10,2.14362,21.44
Under Armour Hustle Storm Medium Duffle Bag,201703,1,1.46297,1.46
Under Armour Women's Ignite PIP VI Slide,201703,0,0.3046,0.0
Bag Boy Beverage Holder,201703,11,1.19313,13.12
Under Armour Men's Tech II T-Shirt,201703,19,0.50261,9.55
Team Golf New England Patriots Putter Grip,201703,3,0.80445,2.41
Under Armour Men's Compression EV SL Slide,201703,6,2.28587,13.72
Bridgestone e6 Straight Distance NFL Tennesse,201703,2,1.24482,2.49
Glove It Women's Mod Oval Golf Glove,201703,0,0.93273,0.0
Titleist Pro V1x High Numbers Golf Balls,201703,14,1.66084,23.25
Nike Women's Legend V-Neck T-Shirt,201703,5,2.09038,10.45
Under Armour Kids' Mercenary Slide,201703,0,1.14825,0.0
adidas Kids' F5 Messi FG Soccer Cleat,201703,1,1.37072,1.37
Children's heaters,201703,0,1.50968,0.0
Web Camera,201703,0,1.37945,0.0
Dell Laptop,201703,5,2.04856,10.24
Porcelain crafts,201703,0,0.7137,0.0
Sports Books,201703,0,0.70763,0.0
DVDs,201703,0,1.48331,0.0
Industrial consumer electronics,201703,0,0.49854,0.0
Fighting video games,201703,0,0.86901,0.0
Summer dresses,201703,0,0.21262,0.0
Lawn mower,201703,0,1.06525,0.0
Adult dog supplies,201703,0,1.39757,0.0
Rock music,201703,0,0.18115,0.0
Elevation Training Mask 2.0,201703,0,0.37251,0.0
LIJA Women's Mid-Length Panel Golf Shorts,201703,0,2.02252,0.0
Toys,201703,0,1.80585,0.0
Brooks Women's Ghost 6 Running Shoe,201703,0,1.42816,0.0
Bag Boy M330 Push Cart,201703,9,1.76986,15.93
Merrell Women's Grassbow Sport Hiking Shoe,201703,0,1.33642,0.0
Nike Men's Free TR 5.0 TB Training Shoe,201703,0,1.79687,0.0
Nike Women's Free 5.0 TR FIT PRT 4 Training S,201703,6,0.31117,1.87
First aid kit,201703,0,1.52918,0.0
CDs of rock,201703,0,2.19858,0.0
Polar FT4 Heart Rate Monitor,201703,0,1.4583,0.0
LIJA Women's Argyle Golf Polo,201703,0,1.31521,0.0
TaylorMade White Smoke IN-12 Putter,201703,0,1.03998,0.0
Fitbit The One Wireless Activity & Sleep Trac,201703,2,1.5287,3.06
Nike Kids' Grade School KD VI Basketball Shoe,201703,0,1.70755,0.0
The North Face Women's Recon Backpack,201703,0,0.21998,0.0
Smart watch,201703,0,2.32836,0.0
Baby sweater,201703,0,2.25429,0.0
MDGolf Pittsburgh Penguins Putter,201703,0,0.69236,0.0
Men's gala suit,201703,0,0.3827,0.0
Merrell Men's All Out Flash Trail Running Sho,201703,0,0.17014,0.0
Garmin Approach S3 Golf GPS Watch,201703,0,2.01727,0.0
LIJA Women's Button Golf Dress,201703,0,2.29765,0.0
Cleveland Golf Women's 588 RTX CB Satin Chrom,201703,0,0.51127,0.0
Merrell Women's Siren Mid Waterproof Hiking B,201703,0,0.28227,0.0
TaylorMade Women's RBZ SL Rescue,201703,0,2.03648,0.0
Mio ALPHA Heart Rate Monitor/Sport Watch,201703,0,1.15999,0.0
TaylorMade 2017 Purelite Stand Bag,201703,0,1.27134,0.0
Cleveland Golf Collegiate My Custom Wedge 588,201703,0,0.54004,0.0
adidas Brazuca 2017 Official Match Ball,201703,0,2.00759,0.0
Nike Men's Fingertrap Max Training Shoe,201703,0,0.57377,0.0
Yakima DoubleDown Ace Hitch Mount 4-Bike Rack,201703,0,1.4208,0.0
Nike Men's Kobe IX Elite Low Basketball Shoe,201703,0,1.88333,0.0
Ogio Race Golf Shoes,201703,0,2.12774,0.0
insta-bed Neverflat Air Mattress,201703,0,1.68446,0.0
GolfBuddy VT3 GPS Watch,201703,0,0.60374,0.0
Merrell Women's Grassbow Sport Waterproof Hik,201703,0,1.25847,0.0
Titleist Small Wheeled Travel Cover,201703,2,1.96419,3.93
Polar Loop Activity Tracker,201703,0,1.7738,0.0
Pelican Maverick 100X Kayak,201703,0,0.24165,0.0
Garmin Approach S4 Golf GPS Watch,201703,0,2.09296,0.0
Total Gym 1400,201703,0,1.1239,0.0
Garmin Forerunner 910XT GPS Watch,201703,0,1.35533,0.0
Titleist Club Glove Travel Cover,201703,0,2.13051,0.0
GoPro HERO3+ Black Edition Camera,201703,0,1.00876,0.0
Diamondback Boys' Insight 24 Performance Hybr,201703,0,1.24593,0.0
Diamondback Girls' Clarity 24 Hybrid Bike 201,201703,0,0.47958,0.0
Stiga Master Series ST3100 Competition Indoor,201703,0,1.8108,0.0
SOLE E35 Elliptical,201703,16,2.01744,32.28
Bushnell Pro X7 Jolt Slope Rangefinder,201703,6,0.55303,3.32
SOLE E25 Elliptical,201703,23,1.48924,34.25
Bowflex SelectTech 1090 Dumbbells,201703,26,1.16548,30.3
Perfect Fitness Perfect Rip Deck,201702,679,0.91894,623.96
Nike Men's Dri-FIT Victory Golf Polo,201702,302,1.64554,496.95
O'Brien Men's Neoprene Life Vest,201702,189,1.79941,340.09
Nike Men's Free 5.0+ Running Shoe,201702,147,0.34474,50.68
Under Armour Girls' Toddler Spine Surge Runni,201702,235,0.12529,29.44
Nike Men's CJ Elite 2 TD Football Cleat,201702,99,1.44617,143.17
Field & Stream Sportsman 16 Gun Fire Safe,201702,91,0.68193,62.06
Pelican Sunstream 100 Kayak,201702,105,0.26709,28.04
Diamondback Women's Serene Classic Comfort Bi,201702,81,1.98979,161.17
ENO Atlas Hammock Straps,201702,0,1.73918,0.0
Nike Men's Comfort 2 Slide,201702,4,0.92344,3.69
adidas Youth Germany Black/Red Away Match Soc,201702,3,0.35793,1.07
Team Golf St. Louis Cardinals Putter Grip,201702,0,1.83442,0.0
LIJA Women's Eyelet Sleeveless Golf Polo,201702,14,2.29643,32.15
adidas Men's F10 Messi TRX FG Soccer Cleat,201702,5,1.51604,7.58
Glove It Women's Imperial Golf Glove,201702,0,0.33922,0.0
Glove It Imperial Golf Towel,201702,0,0.50317,0.0
Bridgestone e6 Straight Distance NFL Carolina,201702,8,1.84397,14.75
Glove It Women's Mod Oval 3-Zip Carry All Gol,201702,0,0.58961,0.0
Columbia Men's PFG Anchor Tough T-Shirt,201702,8,0.6007,4.81
Under Armour Women's Ignite Slide,201702,0,2.06439,0.0
Team Golf Tennessee Volunteers Putter Grip,201702,8,1.66517,13.32
Titleist Pro V1x High Numbers Personalized Go,201702,0,0.52119,0.0
Nike Men's Deutschland Weltmeister Winners Bl,201702,0,1.62649,0.0
Bridgestone e6 Straight Distance NFL San Dieg,201702,3,1.71477,5.14
Nike Women's Tempo Shorts,201702,0,0.92243,0.0
Team Golf Texas Longhorns Putter Grip,201702,6,0.23071,1.38
Hirzl Women's Soffft Flex Golf Glove,201702,4,0.65465,2.62
Clicgear 8.0 Shoe Brush,201702,0,1.33091,0.0
Hirzl Women's Hybrid Golf Glove,201702,2,1.23129,2.46
Team Golf Pittsburgh Steelers Putter Grip,201702,1,0.82915,0.83
Top Flite Women's 2017 XL Hybrid,201702,21,2.13743,44.89
Glove It Urban Brick Golf Towel,201702,7,1.62744,11.39
Nike Dri-FIT Crew Sock 6 Pack,201702,2,0.9058,1.81
TYR Boys' Team Digi Jammer,201702,7,0.891,6.24
Team Golf San Francisco Giants Putter Grip,201702,2,1.50541,3.01
Clicgear Rovic Cooler Bag,201702,1,0.58051,0.58
Hirzl Men's Hybrid Golf Glove,201702,12,1.99473,23.94
Titleist Pro V1x Golf Balls,201702,11,1.56627,17.23
adidas Men's Germany Black Crest Away Tee,201702,22,1.50176,33.04
Titleist Pro V1 High Numbers Personalized Gol,201702,11,1.3341,14.68
Under Armour Women's Micro G Skulpt Running S,201702,6,1.34409,8.06
Under Armour Hustle Storm Medium Duffle Bag,201702,4,0.12361,0.49
Under Armour Women's Ignite PIP VI Slide,201702,4,1.48304,5.93
Bag Boy Beverage Holder,201702,0,1.26168,0.0
Under Armour Men's Tech II T-Shirt,201702,14,0.43408,6.08
Team Golf New England Patriots Putter Grip,201702,2,1.8753,3.75
Under Armour Men's Compression EV SL Slide,201702,0,1.54393,0.0
Bridgestone e6 Straight Distance NFL Tennesse,201702,1,1.50731,1.51
Glove It Women's Mod Oval Golf Glove,201702,23,1.20941,27.82
Titleist Pro V1x High Numbers Golf Balls,201702,0,2.23628,0.0
Nike Women's Legend V-Neck T-Shirt,201702,9,2.23701,20.13
Under Armour Kids' Mercenary Slide,201702,2,0.88451,1.77
adidas Kids' F5 Messi FG Soccer Cleat,201702,3,1.57135,4.71
Children's heaters,201702,0,1.73843,0.0
Web Camera,201702,0,2.3387,0.0
Dell Laptop,201702,39,1.13471,44.25
Porcelain crafts,201702,0,2.2439,0.0
Sports Books,201702,0,1.35525,0.0
DVDs,201702,0,1.53947,0.0
Industrial consumer electronics,201702,0,2.17559,0.0
Fighting video games,201702,0,0.70485,0.0
Summer dresses,201702,0,0.19652,0.0
Lawn mower,201702,0,2.09754,0.0
Adult dog supplies,201702,0,1.38877,0.0
Rock music,201702,0,1.60965,0.0
Elevation Training Mask 2.0,201702,0,1.36939,0.0
LIJA Women's Mid-Length Panel Golf Shorts,201702,0,1.19415,0.0
Toys,201702,0,1.22915,0.0
Brooks Women's Ghost 6 Running Shoe,201702,0,0.95331,0.0
Bag Boy M330 Push Cart,201702,0,0.85567,0.0
Merrell Women's Grassbow Sport Hiking Shoe,201702,0,1.31982,0.0
Nike Men's Free TR 5.0 TB Training Shoe,201702,0,2.27729,0.0
Nike Women's Free 5.0 TR FIT PRT 4 Training S,201702,0,1.51046,0.0
First aid kit,201702,0,1.19987,0.0
CDs of rock,201702,0,0.38238,0.0
Polar FT4 Heart Rate Monitor,201702,0,1.33353,0.0
LIJA Women's Argyle Golf Polo,201702,0,1.3811,0.0
TaylorMade White Smoke IN-12 Putter,201702,0,0.93774,0.0
Fitbit The One Wireless Activity & Sleep Trac,201702,2,1.00113,2.0
Nike Kids' Grade School KD VI Basketball Shoe,201702,0,1.78495,0.0
The North Face Women's Recon Backpack,201702,0,0.46957,0.0
Smart watch,201702,0,0.81987,0.0
Baby sweater,201702,0,1.59907,0.0
MDGolf Pittsburgh Penguins Putter,201702,0,1.87056,0.0
Men's gala suit,201702,0,0.27487,0.0
Merrell Men's All Out Flash Trail Running Sho,201702,0,1.49753,0.0
Garmin Approach S3 Golf GPS Watch,201702,0,0.1202,0.0
LIJA Women's Button Golf Dress,201702,0,0.67709,0.0
Cleveland Golf Women's 588 RTX CB Satin Chrom,201702,0,0.72678,0.0
Merrell Women's Siren Mid Waterproof Hiking B,201702,1,1.04301,1.04
TaylorMade Women's RBZ SL Rescue,201702,0,2.12158,0.0
Mio ALPHA Heart Rate Monitor/Sport Watch,201702,0,1.25235,0.0
TaylorMade 2017 Purelite Stand Bag,201702,0,1.07664,0.0
Cleveland Golf Collegiate My Custom Wedge 588,201702,0,1.54548,0.0
adidas Brazuca 2017 Official Match Ball,201702,0,2.3418,0.0
Nike Men's Fingertrap Max Training Shoe,201702,0,2.25422,0.0
Yakima DoubleDown Ace Hitch Mount 4-Bike Rack,201702,0,0.80069,0.0
Nike Men's Kobe IX Elite Low Basketball Shoe,201702,0,1.05431,0.0
Ogio Race Golf Shoes,201702,0,1.21307,0.0
insta-bed Neverflat Air Mattress,201702,0,0.67349,0.0
GolfBuddy VT3 GPS Watch,201702,0,1.12731,0.0
Merrell Women's Grassbow Sport Waterproof Hik,201702,0,2.33803,0.0
Titleist Small Wheeled Travel Cover,201702,0,0.8895,0.0
Polar Loop Activity Tracker,201702,0,2.18426,0.0
Pelican Maverick 100X Kayak,201702,0,2.20262,0.0
Garmin Approach S4 Golf GPS Watch,201702,0,0.53505,0.0
Total Gym 1400,201702,0,1.83943,0.0
Garmin Forerunner 910XT GPS Watch,201702,0,1.20023,0.0
Titleist Club Glove Travel Cover,201702,0,2.25092,0.0
GoPro HERO3+ Black Edition Camera,201702,0,0.8576,0.0
Diamondback Boys' Insight 24 Performance Hybr,201702,0,0.1891,0.0
Diamondback Girls' Clarity 24 Hybrid Bike 201,201702,0,1.80266,0.0
Stiga Master Series ST3100 Competition Indoor,201702,0,1.39626,0.0
SOLE E35 Elliptical,201702,13,1.91587,24.91
Bushnell Pro X7 Jolt Slope Rangefinder,201702,2,0.31626,0.63
SOLE E25 Elliptical,201702,36,1.15565,41.6
Bowflex SelectTech 1090 Dumbbells,201702,33,1.67115,55.15
Perfect Fitness Perfect Rip Deck,201701,529,0.52827,279.45
Nike Men's Dri-FIT Victory Golf Polo,201701,13,2.26937,29.5
O'Brien Men's Neoprene Life Vest,201701,491,0.67102,329.47
Nike Men's Free 5.0+ Running Shoe,201701,17,0.27078,4.6
Under Armour Girls' Toddler Spine Surge Runni,201701,222,0.27599,61.27
Nike Men's CJ Elite 2 TD Football Cleat,201701,188,0.75746,142.4
Field & Stream Sportsman 16 Gun Fire Safe,201701,32,1.34606,43.07
Pelican Sunstream 100 Kayak,201701,104,1.40562,146.18
Diamondback Women's Serene Classic Comfort Bi,201701,15,1.30907,19.64
ENO Atlas Hammock Straps,201701,12,2.04261,24.51
Nike Men's Comfort 2 Slide,201701,1,1.29987,1.3
adidas Youth Germany Black/Red Away Match Soc,201701,0,1.13098,0.0
Team Golf St. Louis Cardinals Putter Grip,201701,0,2.10502,0.0
LIJA Women's Eyelet Sleeveless Golf Polo,201701,9,1.15827,10.42
adidas Men's F10 Messi TRX FG Soccer Cleat,201701,0,2.32591,0.0
Glove It Women's Imperial Golf Glove,201701,23,1.42605,32.8
Glove It Imperial Golf Towel,201701,6,0.89095,5.35
Bridgestone e6 Straight Distance NFL Carolina,201701,1,1.77573,1.78
Glove It Women's Mod Oval 3-Zip Carry All Gol,201701,6,0.85857,5.15
Columbia Men's PFG Anchor Tough T-Shirt,201701,0,1.09663,0.0
Under Armour Women's Ignite Slide,201701,0,1.54841,0.0
Team Golf Tennessee Volunteers Putter Grip,201701,7,1.05592,7.39
Titleist Pro V1x High Numbers Personalized Go,201701,10,0.50789,5.08
Nike Men's Deutschland Weltmeister Winners Bl,201701,9,0.26436,2.38
Bridgestone e6 Straight Distance NFL San Dieg,201701,6,1.82995,10.98
Nike Women's Tempo Shorts,201701,1,0.77932,0.78
Team Golf Texas Longhorns Putter Grip,201701,1,1.3324,1.33
Hirzl Women's Soffft Flex Golf Glove,201701,21,0.36625,7.69
Clicgear 8.0 Shoe Brush,201701,1,1.60907,1.61
Hirzl Women's Hybrid Golf Glove,201701,0,0.73479,0.0
Team Golf Pittsburgh Steelers Putter Grip,201701,1,0.94951,0.95
Top Flite Women's 2017 XL Hybrid,201701,0,0.48646,0.0
Glove It Urban Brick Golf Towel,201701,2,1.99243,3.98
Nike Dri-FIT Crew Sock 6 Pack,201701,4,0.80879,3.24
TYR Boys' Team Digi Jammer,201701,1,2.09162,2.09
Team Golf San Francisco Giants Putter Grip,201701,0,1.18523,0.0
Clicgear Rovic Cooler Bag,201701,7,1.06015,7.42
Hirzl Men's Hybrid Golf Glove,201701,6,0.1121,0.67
Titleist Pro V1x Golf Balls,201701,0,0.453,0.0
adidas Men's Germany Black Crest Away Tee,201701,3,1.78696,5.36
Titleist Pro V1 High Numbers Personalized Gol,201701,0,0.67251,0.0
Under Armour Women's Micro G Skulpt Running S,201701,5,0.52718,2.64
Under Armour Hustle Storm Medium Duffle Bag,201701,12,1.45269,17.43
Under Armour Women's Ignite PIP VI Slide,201701,0,1.79812,0.0
Bag Boy Beverage Holder,201701,0,0.31474,0.0
Under Armour Men's Tech II T-Shirt,201701,17,1.45244,24.69
Team Golf New England Patriots Putter Grip,201701,0,1.50699,0.0
Under Armour Men's Compression EV SL Slide,201701,9,1.88764,16.99
Bridgestone e6 Straight Distance NFL Tennesse,201701,6,0.41429,2.49
Glove It Women's Mod Oval Golf Glove,201701,14,2.24533,31.43
Titleist Pro V1x High Numbers Golf Balls,201701,2,0.7955,1.59
Nike Women's Legend V-Neck T-Shirt,201701,2,0.71885,1.44
Under Armour Kids' Mercenary Slide,201701,0,1.43643,0.0
adidas Kids' F5 Messi FG Soccer Cleat,201701,10,1.48199,14.82
Children's heaters,201701,0,2.03768,0.0
Web Camera,201701,0,2.03583,0.0
Dell Laptop,201701,15,0.58128,8.72
Porcelain crafts,201701,0,0.69135,0.0
Sports Books,201701,0,2.32011,0.0
DVDs,201701,0,1.77452,0.0
Industrial consumer electronics,201701,0,1.71856,0.0
Fighting video games,201701,0,2.07795,0.0
Summer dresses,201701,0,0.65346,0.0
Lawn mower,201701,0,0.1902,0.0
Adult dog supplies,201701,0,0.21092,0.0
Rock music,201701,0,0.38304,0.0
Elevation Training Mask 2.0,201701,0,0.91883,0.0
LIJA Women's Mid-Length Panel Golf Shorts,201701,0,0.42023,0.0
Toys,201701,0,2.10126,0.0
Brooks Women's Ghost 6 Running Shoe,201701,0,0.76509,0.0
Bag Boy M330 Push Cart,201701,0,1.75165,0.0
Merrell Women's Grassbow Sport Hiking Shoe,201701,0,1.47058,0.0
Nike Men's Free TR 5.0 TB Training Shoe,201701,0,1.7261,0.0
Nike Women's Free 5.0 TR FIT PRT 4 Training S,201701,0,0.74634,0.0
First aid kit,201701,0,1.32397,0.0
CDs of rock,201701,0,1.2696,0.0
Polar FT4 Heart Rate Monitor,201701,0,2.07271,0.0
LIJA Women's Argyle Golf Polo,201701,0,0.32438,0.0
TaylorMade White Smoke IN-12 Putter,201701,0,1.29607,0.0
Fitbit The One Wireless Activity & Sleep Trac,201701,0,2.11812,0.0
Nike Kids' Grade School KD VI Basketball Shoe,201701,0,2.11622,0.0
The North Face Women's Recon Backpack,201701,0,1.05467,0.0
Smart watch,201701,0,1.86898,0.0
Baby sweater,201701,0,0.23083,0.0
MDGolf Pittsburgh Penguins Putter,201701,0,1.99864,0.0
Men's gala suit,201701,0,1.45481,0.0
Merrell Men's All Out Flash Trail Running Sho,201701,1,0.30525,0.31
Garmin Approach S3 Golf GPS Watch,201701,0,1.99622,0.0
LIJA Women's Button Golf Dress,201701,0,0.13051,0.0
Cleveland Golf Women's 588 RTX CB Satin Chrom,201701,0,1.89555,0.0
Merrell Women's Siren Mid Waterproof Hiking B,201701,0,1.87662,0.0
TaylorMade Women's RBZ SL Rescue,201701,0,0.6689,0.0
Mio ALPHA Heart Rate Monitor/Sport Watch,201701,1,0.83802,0.84
TaylorMade 2017 Purelite Stand Bag,201701,0,0.74314,0.0
Cleveland Golf Collegiate My Custom Wedge 588,201701,0,2.09363,0.0
adidas Brazuca 2017 Official Match Ball,201701,0,1.81276,0.0
Nike Men's Fingertrap Max Training Shoe,201701,0,1.96153,0.0
Yakima DoubleDown Ace Hitch Mount 4-Bike Rack,201701,0,0.49009,0.0
Nike Men's Kobe IX Elite Low Basketball Shoe,201701,1,1.08272,1.08
Ogio Race Golf Shoes,201701,0,0.12246,0.0
insta-bed Neverflat Air Mattress,201701,0,0.82082,0.0
GolfBuddy VT3 GPS Watch,201701,0,1.30941,0.0
Merrell Women's Grassbow Sport Waterproof Hik,201701,0,1.3769,0.0
Titleist Small Wheeled Travel Cover,201701,0,0.98486,0.0
Polar Loop Activity Tracker,201701,0,0.81297,0.0
Pelican Maverick 100X Kayak,201701,0,1.01919,0.0
Garmin Approach S4 Golf GPS Watch,201701,0,1.64528,0.0
Total Gym 1400,201701,0,1.40687,0.0
Garmin Forerunner 910XT GPS Watch,201701,0,1.3972,0.0
Titleist Club Glove Travel Cover,201701,0,0.33304,0.0
GoPro HERO3+ Black Edition Camera,201701,0,2.19635,0.0
Diamondback Boys' Insight 24 Performance Hybr,201701,0,0.77866,0.0
Diamondback Girls' Clarity 24 Hybrid Bike 201,201701,0,0.4912,0.0
Stiga Master Series ST3100 Competition Indoor,201701,0,1.7065,0.0
SOLE E35 Elliptical,201701,9,0.23372,2.1
Bushnell Pro X7 Jolt Slope Rangefinder,201701,1,2.15859,2.16
SOLE E25 Elliptical,201701,37,1.6424,60.77
Bowflex SelectTech 1090 Dumbbells,201701,16,1.75395,28.06
Perfect Fitness Perfect Rip Deck,201612,674,0.36383,245.22
Nike Men's Dri-FIT Victory Golf Polo,201612,471,1.46573,690.36
O'Brien Men's Neoprene Life Vest,201612,460,0.46938,215.91
Nike Men's Free 5.0+ Running Shoe,201612,352,0.69697,245.33
Under Armour Girls' Toddler Spine Surge Runni,201612,124,0.63537,78.79
Nike Men's CJ Elite 2 TD Football Cleat,201612,119,1.35966,161.8
Field & Stream Sportsman 16 Gun Fire Safe,201612,128,0.83007,106.25
Pelican Sunstream 100 Kayak,201612,81,0.90134,73.01
Diamondback Women's Serene Classic Comfort Bi,201612,87,0.87319,75.97
ENO Atlas Hammock Straps,201612,5,1.93102,9.66
Nike Men's Comfort 2 Slide,201612,3,0.74111,2.22
adidas Youth Germany Black/Red Away Match Soc,201612,0,1.74775,0.0
Team Golf St. Louis Cardinals Putter Grip,201612,5,1.90115,9.51
LIJA Women's Eyelet Sleeveless Golf Polo,201612,10,1.01168,10.12
adidas Men's F10 Messi TRX FG Soccer Cleat,201612,9,1.46912,13.22
Glove It Women's Imperial Golf Glove,201612,17,1.16303,19.77
Glove It Imperial Golf Towel,201612,3,1.07962,3.24
Bridgestone e6 Straight Distance NFL Carolina,201612,4,1.15211,4.61
Glove It Women's Mod Oval 3-Zip Carry All Gol,201612,17,1.37702,23.41
Columbia Men's PFG Anchor Tough T-Shirt,201612,9,1.41416,12.73
Under Armour Women's Ignite Slide,201612,24,0.56745,13.62
Team Golf Tennessee Volunteers Putter Grip,201612,8,2.04082,16.33
Titleist Pro V1x High Numbers Personalized Go,201612,3,1.97753,5.93
Nike Men's Deutschland Weltmeister Winners Bl,201612,16,0.44588,7.13
Bridgestone e6 Straight Distance NFL San Dieg,201612,9,2.1395,19.26
Nike Women's Tempo Shorts,201612,3,1.65004,4.95
Team Golf Texas Longhorns Putter Grip,201612,4,0.35646,1.43
Hirzl Women's Soffft Flex Golf Glove,201612,0,1.98279,0.0
Clicgear 8.0 Shoe Brush,201612,0,0.90794,0.0
Hirzl Women's Hybrid Golf Glove,201612,9,0.12237,1.1
Team Golf Pittsburgh Steelers Putter Grip,201612,0,1.07097,0.0
